Category,SubCategory,Brand,Start_Week,Year,Sales,Unit_lift,Revenue,Rev_lift
Mens,Facial Moisturisers,BULLDOG,2/11/2015,2015,6027,228,933100,-2196
Toiletries,Soaps,Garnier,1/11/2016,2016,7229,1155,931900,-809
Toiletries,Body Sprays,Aveda,7/2/2017,2017,7814,-348,934300,7
Toiletries,Anti-Perspirants,Dove,11/10/2016,2016,9833,-122,931800,-2919
Hair,Hair Shampoo,Crest,7/6/2016,2016,9195,-862,934200,-625
Mens,Anti-Perspirants,OLD SPICE,20-12-2016,2016,6343,1109,932500,135
Mens,Shower Gels,DOVE,11/4/2017,2017,9722,1311,932900,-897
Hair,Hair Colours,Shiseido,13-12-2016,2016,88443,1085,935100,2131
Hair,Hair Shampoo,Clairol,22-11-2016,2016,2072,407,934300,-1386
Toiletries,Hand Wash,Neutrogena,21-03-2017,2017,10173,53,933600,-1250
Toiletries,Hand Wash,Matrix,19-09-2017,2017,10222,1876,935700,1605
Accessories,Grooming Tools,CHAMPNEYS,20-06-2017,2017,4114,-104,935900,-5622
Accessories,Nail Care Products,SENSATIONAIL,20-06-2017,2017,4692,961,934900,925
Mens,Hair Styling,JONNY'S CHOP SHOP,20-12-2016,2016,7885,651,936100,1689
Hair,Hair Shampoo,Clairol,1/2/2016,2016,11404,-780,936700,-1469
Mens,Shower Gels,FCUK,25-04-2017,2017,1181,-107,937700,-2311
Accessories,Nail Enamels,SENSATIONAIL,1/2/2016,2016,4480,-7664,937300,-23176
Accessories,Body Exfoliators,ECOTOOLS,22-11-2016,2016,374,651,935900,-968
Hair,Hair Shampoo,L'oreal,18-07-2017,2017,18380,-1207,936600,-2805
Accessories,Grooming Tools,TWEEZERMAN,5/4/2016,2016,6342,-12,938900,292
Mens,Shower Gels,TED BAKER,7/12/2015,2015,7329,-492,937200,598
Hair,Hair Conditioner,Neutrogena,26-04-2016,2016,18968,-290,939100,2251
Toiletries,Soaps,Neutrogena,29-11-2016,2016,975,-742,938300,-1118
Hair,Hair Shampoo,TRESEMME,16-05-2017,2017,13515,-194,940100,1429
Mens,Anti-Perspirants,FCUK,4/7/2017,2017,4627,-228,938100,-1614
Hair,Hair Colours,HERBAL ESSENCES,15-11-2016,2016,18379,517,940400,-922
Accessories,Nail Care Access.,TWEEZERMAN,23-11-2015,2015,925,-265,938900,1375
Hair,Hair Conditioner,Olay,19-09-2017,2017,10332,587,939300,213
Accessories,False Nails,ELEGANT TOUCH,1/11/2016,2016,7799,946,941100,911
Hair,Hair Shampoo,Nivea,16-05-2017,2017,9185,455,940000,-586
Hair,Hair Colours,Neutrogena,18-10-2016,2016,5166,-749,941300,-3318
Hair,Hair Shampoo,Shiseido,12/4/2016,2016,19535,-280,942000,813
Mens,Shower Gels,NIVEA,12/4/2016,2016,16616,458,941800,2450
Hair,Hair Shampoo,Nivea,25-10-2016,2016,34132,542,941700,766
Hair,Hair Styling,Crest,19-04-2016,2016,9649,1059,940600,1063
Mens,Hair Shampoo,JUST FOR MEN,9/5/2017,2017,1797,-532,941100,431
Accessories,Eye Cosmetics,COLOURSPORT,9/11/2015,2015,1299,-414,942800,1442
Toiletries,Hand Wash,Garnier,4/7/2017,2017,6120,651,941500,703
Toiletries,Hand Wash,Olay,10/5/2016,2016,5798,-2231,942000,-6978
Toiletries,Tampons,Olay,10/5/2016,2016,23828,-472,944300,-3023
Mens,Anti-Perspirants,DOVE,21-02-2017,2017,23709,-375,944200,55
Toiletries,Body Moisturisers,Nivea,1/2/2016,2016,213,-608,942500,635
Mens,Hair Colours,JUST FOR MEN,28-12-2015,2015,6022,-901,944500,-1594
Accessories,Hair Combs/Brushes,KENT,1/2/2016,2016,6113,-542,943400,1268
Hair,Hair Conditioner,Pantene,2/8/2016,2016,10080,-1252,945200,-711
Hair,Hair Shampoo,TRESEMME,27-09-2016,2016,16749,-735,943500,-201
Toiletries,Hand Wash,Matrix,9/8/2016,2016,21477,3485,943100,177
Mens,Hair Conditioner,JONNY'S CHOP SHOP,26-07-2016,2016,197,-1135,944400,-3161
Hair,Hair Conditioner,L'oreal,1/11/2016,2016,10329,494,944200,-487
Hair,Hair Conditioner,Pantene,25-10-2016,2016,5128,-888,946300,-3561
Toiletries,Body Moisturisers,Clairol,10/10/2017,2017,170,635,946000,305
Toiletries,Soaps,Pantene,13-12-2016,2016,3852,1751,944800,2030
Mens,Body Sprays,FCUK,3/5/2016,2016,6206,-311,947500,2802
Accessories,Hair Combs/Brushes,MARK HILL,21-06-2016,2016,2559,-327,946300,-4110
Toiletries,Sanitary Towels,Dove,31-05-2016,2016,18254,844,947800,521
Mens,After Shaves,LYNX,9/5/2017,2017,704,830,945900,454
Hair,Hair Styling,Garnier,4/4/2017,2017,54253,5754,7370900,-6334
Accessories,Body Exfoliators,ECOTOOLS,19-04-2016,2016,377,803,946300,815
Hair,Hair Colours,TRESEMME,19-09-2017,2017,7835,958,947700,976
Hair,Hair Colours,Crest,22-02-2016,2016,23873,-341,946500,921
Mens,Anti-Perspirants,MITCHUM,14-12-2015,2015,9598,948,948400,2997
Mens,Anti-Perspirants,NIVEA,18-04-2017,2017,34145,662,948100,3477
Mens,Facial Cleansers,L'OREAL,7/2/2017,2017,7810,449,948400,107
Accessories,Toiletry & Cos Bags,TED BAKER,8/8/2017,2017,4564,2357,948500,2591
Hair,Hair Colours,Aveda,31-01-2017,2017,6215,874,947800,1672
Hair,Hair Colours,Neutrogena,2/8/2016,2016,88122,64,949600,2222
Hair,Hair Conditioner,Dove,10/10/2017,2017,43861,1282,949400,2332
Hair,Hair Shampoo,HERBAL ESSENCES,17-01-2017,2017,9635,51,948000,-250
Toiletries,Tampons,Neutrogena,30-05-2017,2017,20940,-1680,950000,-2847
Hair,Hair Shampoo,Pantene,21-12-2015,2015,36291,1939,949700,3630
Hair,Hair Conditioner,L'oreal,20-09-2016,2016,11457,315,948800,-1569
Mens,Hair Styling,STUDIO LINE,26-07-2016,2016,2082,-1022,949300,-4006
Mens,Hair Styling,FUDGE,9/8/2016,2016,2541,157,949200,-1171
Hair,Hair Conditioner,L'oreal,16-05-2017,2017,6319,1576,951500,984
Toiletries,Anti-Perspirants,Aveda,10/1/2017,2017,6340,-68,950500,376
Accessories,False Eyelashes,KISS,15-03-2016,2016,4019,918,951900,961
Hair,Hair Shampoo,L'oreal,26-04-2016,2016,23861,-895,952000,-1222
Accessories,Nail Enamels,SALLY HANSEN,15-08-2017,2017,201,519,950900,-1693
Hair,Hair Colours,Matrix,13-09-2016,2016,6013,-737,953200,-202
Toiletries,Talcum Powders,Neutrogena,27-12-2016,2016,855,-1040,951500,-2596
Toiletries,Shower Gels,Shiseido,22-11-2016,2016,33968,-1044,953300,-766
Hair,Hair Conditioner,Matrix,21-06-2016,2016,23734,-847,953400,-557
Hair,Hair Styling,Matrix,8/8/2017,2017,1159,-732,953800,-1560
Hair,Hair Conditioner,Matrix,3/5/2016,2016,5041,2116,952000,-4422
Toiletries,Anti-Perspirants,Shiseido,28-12-2015,2015,7330,588,954100,259
Toiletries,Body Sprays,Clairol,11/4/2017,2017,10133,-927,952600,-3113
Toiletries,Anti-Perspirants,Crest,28-12-2015,2015,6183,-722,954500,406
Hair,Hair Styling,Olay,23-08-2016,2016,2075,159,953000,-946
Hair,Hair Styling,Neutrogena,21-02-2017,2017,36327,1385,955400,674
Toiletries,Facial Tissues,Dove,6/9/2016,2016,140184,-713,953000,-1706
Mens,Hair Colours,JUST FOR MEN,11/10/2016,2016,10112,916,955100,130
Hair,Hair Styling,Garnier,4/7/2017,2017,9155,-2738,15700,-11387
Hair,Hair Colours,HERBAL ESSENCES,22-02-2016,2016,9173,-1013,956000,-1575
Mens,Anti-Perspirants,LYNX,18-01-2016,2016,11391,-8903,953600,-10863
Mens,Anti-Perspirants,MITCHUM,30-05-2017,2017,13555,-132,955400,1214
Mens,Anti-Perspirants,GILLETTE,2/11/2015,2015,4641,-179,954500,-1025
Hair,Hair Styling,Neutrogena,11/1/2016,2016,7171,-56,955800,-1598
Toiletries,Anti-Perspirants,Crest,15-11-2016,2016,2071,-782,956600,-331
Mens,Facial Cleansers,L'OREAL,19-04-2016,2016,6134,-167,956700,833
Mens,Hair Shampoo,GRIZZLY BEARD,14-12-2015,2015,4718,1763,955300,-1298
Hair,Hair Shampoo,Garnier,4/7/2017,2017,26252,547,177300,-245
Toiletries,Shower Gels,Crest,22-02-2016,2016,34458,2109,957600,3635
Hair,Hair Conditioner,Garnier,4/7/2017,2017,1694,729,1534100,1063
Mens,Razors & Blades,WILKINSON SWORD,23-08-2016,2016,13522,978,955800,1419
Toiletries,Sanitary Towels,Crest,17-01-2017,2017,29341,-3941,956400,-8257
Hair,Hair Conditioner,Nivea,29-08-2017,2017,9619,801,958200,-1669
Mens,Hair Styling,FISH,10/1/2017,2017,6120,-594,956500,686
Accessories,Toiletry & Cos Bags,TED BAKER,23-08-2016,2016,4354,-769,958500,-537
Accessories,Hair Decorations,SCUNCI,31-01-2017,2017,6329,66,956800,963
Accessories,Hair Decorations,SCUNCI,7/12/2015,2015,9910,-412,958900,1025
Accessories,Electro W/Mnagement,SALTER,26-10-2015,2015,200,558,957000,-1713
Hair,Hair Colours,Nivea,15-08-2017,2017,9201,1036,957600,1914
Toiletries,Body Moisturisers,Pantene,23-05-2017,2017,150,-777,957400,-4
Mens,Grooming Tools,MEN-U,5/4/2016,2016,363,-414,958900,1664
Hair,Hair Styling,Crest,30-08-2016,2016,10276,-470,959100,2758
Mens,Hair Styling,TONI & GUY,16-08-2016,2016,6871,1451,958100,-640
Mens,After Shaves,TABAC,18-07-2017,2017,209,-251,958100,1932
Accessories,Cosmetic Applicators,ECO TOOLS,1/8/2017,2017,4723,1885,960600,1357
Mens,Hair Styling,BRYLCREEM,21-12-2015,2015,6103,796,958200,1207
Mens,Hair Styling,FISH,7/12/2015,2015,9896,930,960500,4083
Toiletries,Hand Wash,Shiseido,11/10/2016,2016,7213,1296,960100,-1582
Toiletries,Soaps,Nivea,14-02-2017,2017,1692,837,961300,500
Accessories,Cosmetic Applicators,REAL TECHNIQUES,22-11-2016,2016,33957,447,959400,-398
Mens,Facial Cleansers,NIVEA,9/5/2017,2017,2540,164,962200,-1228
Mens,Razors & Blades,PHILIPS,15-02-2016,2016,1346,-781,960200,-4090
Accessories,Hair Decorations,SCUNCI,29-03-2016,2016,9414,-827,960300,-1793
Mens,Body Sprays,FCUK,3/10/2017,2017,6348,822,962000,112
Hair,Hair Shampoo,Garnier,4/7/2017,2017,24823,4992,2308400,-138
Toiletries,Soaps,Aveda,1/2/2016,2016,9032,-483,960800,-1297
Hair,Hair Shampoo,Crest,7/2/2017,2017,4707,1645,961200,-964
Hair,Hair Colours,Matrix,1/8/2017,2017,33900,-574,963200,434
Accessories,Hold Ups,ARISTOC,30-11-2015,2015,2092,796,963400,-4181
Hair,Hair Conditioner,Crest,29-03-2016,2016,42270,7085,961700,5684
Accessories,Grooming Tools,TWEEZERMAN,8/3/2016,2016,6328,1353,964300,1176
Hair,Hair Conditioner,L'oreal,13-06-2017,2017,5135,516,962100,-950
Toiletries,Anti-Perspirants,Aveda,11/1/2016,2016,6125,889,964500,1199
Hair,Hair Shampoo,HERBAL ESSENCES,27-09-2016,2016,35671,1561,965100,632
Accessories,Cosmetic Applicators,REAL TECHNIQUES,29-11-2016,2016,43546,-1639,963600,-2444
Hair,Hair Conditioner,Garnier,4/7/2017,2017,14143,2089,7992600,11418
Mens,Anti-Perspirants,OLD SPICE,6/12/2016,2016,5154,570,963400,-2901
Mens,Hair Conditioner,JONNY'S CHOP SHOP,7/2/2017,2017,153,588,963700,-518
Hair,Hair Styling,Aveda,11/10/2016,2016,6176,-472,963900,1627
Hair,Hair Colours,Neutrogena,21-02-2017,2017,9221,706,966300,464
Toiletries,Toilet Tissues,L'oreal,29-11-2016,2016,10277,610,967100,-766
Accessories,False Eyelashes,ARDELL,28-12-2015,2015,7234,1279,967300,-1220
Hair,Hair Shampoo,HERBAL ESSENCES,31-01-2017,2017,18243,2277,965600,1036
Mens,Body Sprays,FCUK,30-11-2015,2015,18095,1853,967600,1006
Mens,Hair Styling,FUDGE,5/4/2016,2016,2304,-581,965700,-6430
Hair,Hair Styling,Garnier,5/9/2017,2017,21484,-1449,451500,-4039
Toiletries,Body Moisturisers,Pantene,27-09-2016,2016,154,-853,966100,-608
Mens,Anti-Perspirants,LYNX,19-09-2017,2017,19631,223,968400,1205
Toiletries,Anti-Perspirants,L'oreal,8/3/2016,2016,19253,664,968500,221
Accessories,Hair Tools & Accs,INVISIBOBBLE,11/7/2017,2017,5164,-690,967300,-2842
Accessories,False Eyelashes,WUNDERBROW,11/1/2016,2016,2551,-41,967400,1727
Toiletries,Shower Gels,Clairol,17-10-2017,2017,22050,-172,969200,452
Mens,Body Moisturisers,L'OREAL,28-06-2016,2016,565,-427,968800,-5881
Hair,Hair Conditioner,TRESEMME,7/3/2017,2017,4641,1081,971000,-875
Mens,Body Sprays,SUPERDRY,2/8/2016,2016,1208,-642,970900,-158
Hair,Hair Conditioner,HERBAL ESSENCES,29-03-2016,2016,36262,-325,969500,825
Accessories,Grooming Tools,TWEEZERMAN,28-12-2015,2015,4642,975,972000,-1888
Mens,Hair Shampoo,TONI & GUY,26-10-2015,2015,973,-1056,971900,-2169
Toiletries,Soaps,Aveda,4/7/2017,2017,1105,105,970600,1657
Accessories,Cosmetic Applicators,REAL TECHNIQUES,15-03-2016,2016,23753,613,970600,260
Accessories,False Eyelashes,WUNDERBROW,17-01-2017,2017,1328,-910,972300,-3972
Hair,Hair Conditioner,Shiseido,30-05-2017,2017,2309,573,972900,-4013
Mens,Facial Cleansers,DOVE,4/7/2017,2017,2316,-591,970500,-6003
Accessories,Grooming Tools,CHAMPNEYS,19-07-2016,2016,4346,34,971400,2279
Mens,Hair Conditioner,MR,18-07-2017,2017,62,733,972600,1062
Accessories,False Eyelashes,ARDELL,13-09-2016,2016,6140,573,971200,208
Mens,Face Masks,MONTAGNE JEUNESSE,10/5/2016,2016,375,-457,973300,16
Hair,Hair Shampoo,L'oreal,21-06-2016,2016,10063,-621,972100,-126
Hair,Hair Conditioner,Crest,28-02-2017,2017,4728,1882,973900,1347
Accessories,Bathroom Products,S&G BATH ACCESS,16-05-2017,2017,4110,120,971900,-4450
Hair,Hair Conditioner,Aveda,30-05-2017,2017,7234,-109,972800,-733
Hair,Hair Shampoo,Neutrogena,5/7/2016,2016,9190,448,972400,-570
Hair,Hair Conditioner,L'oreal,7/6/2016,2016,34150,705,974300,3160
Mens,Facial Moisturisers,BULLDOG,2/8/2016,2016,6149,-580,973100,48
Accessories,Cosmetic Applicators,ECOTOOLS,23-08-2016,2016,5125,12,974800,-450
Hair,Hair Shampoo,Matrix,4/10/2016,2016,5135,978,973600,-476
Hair,Hair Colours,Matrix,22-08-2017,2017,35527,-2444,975800,-1477
Accessories,Nail Enamels,SENSATIONAIL,18-01-2016,2016,4605,22,974400,-8
Mens,Hair Styling,BRYLCREEM,29-11-2016,2016,3812,-145,975700,1344
Mens,Anti-Perspirants,OLD SPICE,15-11-2016,2016,5108,-579,976500,-3617
Hair,Hair Colours,HERBAL ESSENCES,12/4/2016,2016,7202,71,974600,-1322
Mens,Razors & Blades,WILKINSON SWORD,20-09-2016,2016,13520,957,976600,1063
Mens,Facial Cleansers,L'OREAL,22-11-2016,2016,5110,-268,975100,-1536
Accessories,Hair Combs/Brushes,SALON PERFORMANCE,6/9/2016,2016,7233,-518,977000,-3811
Hair,Hair Conditioner,Crest,13-09-2016,2016,5130,165,977200,188
Hair,Hair Styling,Olay,12/4/2016,2016,2104,-753,977000,-624
Toiletries,Hand Wash,Shiseido,18-07-2017,2017,6192,-437,975800,1909
Accessories,Bathroom Products,ESSENTIALS ACCESSO,26-09-2017,2017,1325,904,976300,1538
Toiletries,Soaps,Crest,16-08-2016,2016,9595,780,976500,-637
Toiletries,Facial Tissues,Shiseido,30-08-2016,2016,140890,-1165,978900,-435
Mens,Hair Conditioner,MR,28-03-2017,2017,148,499,979100,-483
Accessories,Hair Combs/Brushes,SALON PERFORMANCE,22-03-2016,2016,7231,236,976800,288
Accessories,Grooming Tools,CHAMPNEYS,21-12-2015,2015,10129,642,978900,-2687
Mens,Hair Styling,SHOCKWAVES,25-04-2017,2017,4108,346,977700,-5881
Mens,Facial Moisturisers,L'OREAL,14-03-2017,2017,7612,826,979700,871
Hair,Hair Styling,Matrix,19-09-2017,2017,10158,275,977600,-844
Hair,Hair Styling,Crest,8/2/2016,2016,18357,755,978000,-701
Hair,Hair Conditioner,TRESEMME,28-06-2016,2016,4619,911,978000,-1707
Hair,Hair Shampoo,Nivea,7/2/2017,2017,22188,-226,979400,-7527
Accessories,Hair Decorations,SCUNCI,14-06-2016,2016,7839,53,978000,569
Toiletries,Tampons,Nivea,22-08-2017,2017,23711,143,977900,835
Hair,Hair Conditioner,Neutrogena,19-04-2016,2016,5130,1226,980000,-231
Hair,Hair Styling,Clairol,13-06-2017,2017,33763,-529,978200,-776
Accessories,Nail Enamels,SALLY HANSEN,30-05-2017,2017,212,-535,980100,1044
Toiletries,Talcum Powders,Aveda,1/3/2016,2016,2072,-371,980800,-921
Toiletries,Hand Wash,Crest,23-08-2016,2016,7806,328,979200,838
Hair,Hair Shampoo,TRESEMME,20-09-2016,2016,35504,-2963,980800,-2047
Mens,Facial Moisturisers,NIVEA,13-06-2017,2017,21463,3115,981100,1570
Mens,Facial Moisturisers,L'OREAL,27-12-2016,2016,6315,322,981100,766
Mens,Hair Shampoo,TREVOR SORBIE,13-09-2016,2016,1167,-1131,982000,-1798
Accessories,Eye Cosmetics,MODEL CO,26-04-2016,2016,371,-484,980600,-392
Mens,Body Moisturisers,L'OREAL,19-09-2017,2017,151,-555,982000,170
Toiletries,Hand Wash,Clairol,20-12-2016,2016,7191,139,981100,-456
Mens,After Shaves,OLD SPICE,6/12/2016,2016,2117,-589,983100,112
Accessories,Wash Accessories,BOTANICS,12/9/2017,2017,9664,1331,980900,-484
Mens,Facial Cleansers,L'OREAL,30-11-2015,2015,5964,239,983600,-2833
Toiletries,Anti-Perspirants,Aveda,5/7/2016,2016,140872,-1263,981700,-196
Toiletries,Soaps,Dove,6/6/2017,2017,5887,-1035,984000,-2062
Mens,Facial Moisturisers,NIVEA,25-07-2017,2017,8982,-685,982200,-1500
Hair,Hair Shampoo,L'oreal,21-03-2017,2017,35354,-1137,984000,-1853
Accessories,Hair Combs/Brushes,MARK HILL,1/3/2016,2016,4354,645,982400,-11
Mens,Facial Cleansers,L'OREAL,5/4/2016,2016,6096,-170,982300,2019
Hair,Hair Styling,Neutrogena,24-01-2017,2017,7851,-229,982300,64
Hair,Hair Colours,Clairol,2/11/2015,2015,18422,1877,984600,-1305
Mens,Anti-Perspirants,OLD SPICE,3/5/2016,2016,2559,678,983100,143
Mens,Hair Styling,FISH,10/10/2017,2017,10190,795,984700,748
Mens,After Shaves,TABAC,30-08-2016,2016,211,477,983100,-312
Mens,After Shaves,OLD SPICE,17-01-2017,2017,367,-440,983300,1966
Hair,Hair Styling,Shiseido,14-02-2017,2017,35695,1500,982700,515
Mens,Anti-Perspirants,DOVE,15-03-2016,2016,19395,140,984800,4102
Hair,Hair Shampoo,Pantene,27-06-2017,2017,35673,1447,986100,436
Hair,Hair Shampoo,Shiseido,15-02-2016,2016,10195,-314,984000,-542
Accessories,Nail Enamels,SALLY HANSEN,25-07-2017,2017,215,807,985100,1320
Hair,Hair Shampoo,Pantene,25-07-2017,2017,34080,1505,987000,1378
Hair,Hair Conditioner,L'oreal,14-12-2015,2015,40177,2571,984500,2833
Mens,Hair Conditioner,JONNY'S CHOP SHOP,18-07-2017,2017,158,461,986700,-29
Toiletries,Anti-Perspirants,Matrix,6/6/2017,2017,2097,-261,985600,-3350
Hair,Hair Conditioner,Matrix,20-09-2016,2016,2550,-1063,987000,-904
Mens,Hair Conditioner,MR,5/7/2016,2016,158,291,985800,-45
Accessories,Wash Accessories,BOTANICS,14-02-2017,2017,9399,-740,987600,-2386
Accessories,Hair Combs/Brushes,SALON PERFORMANCE,6/12/2016,2016,6186,481,988500,345
Accessories,False Eyelashes,ARDELL,31-05-2016,2016,9588,1817,986800,6850
Toiletries,Anti-Perspirants,Shiseido,5/4/2016,2016,2108,281,987000,-1601
Toiletries,Body Sprays,L'oreal,15-03-2016,2016,2558,-611,987100,-609
Hair,Hair Shampoo,Crest,6/12/2016,2016,11400,-834,987500,-1070
Accessories,Hair Combs/Brushes,BABYLISS,13-12-2016,2016,7799,1404,989200,1034
Accessories,Hair Combs/Brushes,KENT,15-08-2017,2017,6328,1257,988000,1066
Toiletries,Soaps,Pantene,27-12-2016,2016,977,-770,987900,-1949
Toiletries,Anti-Perspirants,Neutrogena,26-09-2017,2017,2570,-32,989900,-2315
Accessories,Hair Tools & Accs,INVISIBOBBLE,6/12/2016,2016,4350,-685,987600,-111
Accessories,Hair Combs/Brushes,BABYLISS,8/8/2017,2017,4872,2855,988800,3927
Hair,Hair Colours,Aveda,8/11/2016,2016,5115,-19,989200,-1160
Hair,Hair Styling,Shiseido,20-06-2017,2017,1178,44,991200,-2551
Mens,After Shaves,LYNX,13-12-2016,2016,1694,800,988600,1090
Hair,Hair Shampoo,Olay,27-09-2016,2016,7861,-108,988800,394
Toiletries,Tampons,Matrix,14-03-2017,2017,18880,1210,991200,1969
Accessories,Nail Care Access.,TWEEZERMAN,21-02-2017,2017,795,-2721,990800,-2439
Mens,Facial Moisturisers,NIVEA,14-02-2017,2017,9198,541,989300,-1270
Mens,Hair Conditioner,MR,4/10/2016,2016,94,-745,992000,-6304
Toiletries,Anti-Perspirants,Nivea,18-07-2017,2017,18374,770,990200,-749
Accessories,Grooming Tools,TWEEZERMAN,17-10-2017,2017,6174,-550,991200,1197
Toiletries,Body Moisturisers,Olay,25-04-2017,2017,155,694,991400,175
Accessories,False Eyelashes,RAPID LASH,4/1/2016,2016,1103,60,993500,1742
Hair,Hair Shampoo,Crest,11/7/2017,2017,4629,-76,991600,-1128
Toiletries,Tampons,L'oreal,26-04-2016,2016,21473,2578,993400,974
Toiletries,Talcum Powders,Shiseido,17-01-2017,2017,1558,-17,992800,1627
Accessories,False Nails,KISS,3/1/2017,2017,6287,-59,994400,183
Toiletries,Facial Tissues,Garnier,23-08-2016,2016,34084,402,992900,1422
Toiletries,Anti-Perspirants,Dove,4/1/2016,2016,33904,-543,994100,222
Mens,Hair Styling,FUDGE,11/7/2017,2017,4095,-14,992900,-1841
Toiletries,Hand Wash,L'oreal,20-12-2016,2016,6002,150,994700,-3352
Mens,Hair Conditioner,MR,3/10/2017,2017,91,-75,993200,-2690
Hair,Hair Conditioner,HERBAL ESSENCES,31-05-2016,2016,21469,3961,995200,442
Toiletries,Toilet Tissues,Shiseido,1/8/2017,2017,10069,-157,994700,804
Mens,Hair Styling,JONNY'S CHOP SHOP,16-11-2015,2015,2099,432,993200,-447
Hair,Hair Colours,HERBAL ESSENCES,7/3/2017,2017,6300,-507,995500,-954
Mens,Anti-Perspirants,RIGHT GUARD,9/5/2017,2017,10204,-392,993000,-448
Hair,Hair Conditioner,Crest,21-12-2015,2015,6337,771,995300,751
Hair,Hair Conditioner,TRESEMME,14-06-2016,2016,35285,-1396,995600,-2277
Hair,Hair Shampoo,TRESEMME,22-02-2016,2016,9911,3,996000,1752
Mens,Razors & Blades,GILLETTE,14-02-2017,2017,42302,8391,994000,5349
Mens,Body Sprays,FCUK,12/9/2017,2017,6110,-440,996000,1497
Accessories,Lipsalves/Balms,LIPCOTE,26-07-2016,2016,2102,697,994600,-1029
Mens,After Shaves,TABAC,10/1/2017,2017,148,-718,997000,280
Hair,Hair Conditioner,L'oreal,23-08-2016,2016,2554,2533,995600,3436
Toiletries,Body Sprays,Matrix,25-01-2016,2016,11414,539,997800,-323
Toiletries,Hand Wash,Garnier,22-03-2016,2016,16779,-1029,996500,-980
Hair,Hair Conditioner,Dove,24-01-2017,2017,4345,605,997200,157
Hair,Hair Shampoo,Shiseido,26-10-2015,2015,18402,839,999100,518
Toiletries,Toilet Tissues,Crest,24-01-2017,2017,11440,-673,997400,46
Toiletries,Facial Tissues,Crest,1/8/2017,2017,43658,2782,998800,2046
Accessories,Eye Cosmetics,MODEL CO,27-12-2016,2016,148,602,997900,-63
Accessories,Nail Care Products,SENSATIONAIL,22-08-2017,2017,4626,155,998200,28
Hair,Hair Shampoo,Nivea,9/8/2016,2016,19248,-729,1000300,-1977
Hair,Hair Colours,TRESEMME,11/10/2016,2016,36297,134,998500,693
Mens,Facial Cleansers,DOVE,5/7/2016,2016,2566,170,1000200,-1067
Toiletries,Tampons,Nivea,18-01-2016,2016,18037,1350,1000800,2067
Accessories,Hair Combs/Brushes,SALON PERFORMANCE,13-09-2016,2016,6846,-651,999300,-345
Hair,Hair Styling,Crest,24-01-2017,2017,19309,1091,1000400,3339
Accessories,Grooming Tools,CHAMPNEYS,16-08-2016,2016,6188,605,999000,464
Toiletries,Soaps,Neutrogena,9/8/2016,2016,6192,-1128,998900,-9483
Toiletries,Body Sprays,Olay,1/3/2016,2016,14931,3151,999100,2726
Toiletries,Anti-Perspirants,L'oreal,17-01-2017,2017,2098,884,1001100,-2549
Mens,Anti-Perspirants,FCUK,11/7/2017,2017,4503,-1815,1001100,-10382
Mens,Facial Cleansers,L'OREAL,8/2/2016,2016,9715,-158,1001800,2110
Toiletries,Anti-Perspirants,Crest,1/8/2017,2017,144362,-656,1002000,-3971
Toiletries,Shower Gels,Neutrogena,28-03-2017,2017,4726,342,1000800,1035
Accessories,Hair Combs/Brushes,KENT,28-03-2017,2017,6304,-205,1002700,-146
Toiletries,Anti-Perspirants,Nivea,18-07-2017,2017,144164,-696,1000300,-3882
Hair,Hair Conditioner,Aveda,4/10/2016,2016,5970,-1097,1001400,-2154
Mens,Hair Styling,STUDIO LINE,3/5/2016,2016,4091,1238,1003100,-538
Mens,Anti-Perspirants,RIGHT GUARD,7/3/2017,2017,13613,-3166,1001400,-11188
Mens,Facial Moisturisers,L'OREAL,27-06-2017,2017,18096,2194,1003200,2198
Mens,Anti-Perspirants,MITCHUM,20-09-2016,2016,6176,-530,1002500,1755
Mens,After Shaves,TABAC,12/7/2016,2016,214,835,1004900,1137
Toiletries,Hand Wash,Clairol,3/5/2016,2016,18396,-1301,1002400,-2455
Mens,Anti-Perspirants,LYNX,28-06-2016,2016,21667,1512,1002800,-1992
Accessories,Nail Enamels,SENSATIONAIL,1/3/2016,2016,4351,-622,1004400,-335
Toiletries,Body Sprays,Pantene,18-10-2016,2016,43934,2815,1002700,2521
Hair,Hair Shampoo,L'oreal,3/10/2017,2017,6853,-905,1003800,-319
Accessories,Hair Combs/Brushes,TANGLE TEEZER,6/12/2016,2016,18345,-1117,1005300,-2671
Hair,Hair Shampoo,Clairol,5/7/2016,2016,3812,740,1005900,658
Hair,Hair Styling,HERBAL ESSENCES,25-07-2017,2017,19366,151,1006800,3674
Hair,Hair Shampoo,L'oreal,27-09-2016,2016,27158,-543,1005000,-3256
Accessories,Electro W/Mnagement,SALTER,17-01-2017,2017,378,-89,1007300,901
Toiletries,Talcum Powders,Olay,1/2/2016,2016,1562,896,1004900,849
Mens,Facial Moisturisers,NIVEA,4/7/2017,2017,9207,2357,1007600,3073
Hair,Hair Conditioner,Olay,26-09-2017,2017,7852,-443,1008500,57
Hair,Hair Conditioner,Olay,1/11/2016,2016,15175,-553,1006500,-5203
Accessories,Hair Combs/Brushes,KENT,4/1/2016,2016,6333,374,1008500,1588
Hair,Hair Colours,TRESEMME,3/5/2016,2016,34459,716,1008600,3304
Toiletries,Hand Wash,Clairol,15-03-2016,2016,22238,1433,1007200,-1913
Mens,Hair Styling,FISH,26-04-2016,2016,9378,-517,1007300,-9233
